Tidb,,,,,,,,,,Oracle,,,,,,,,,Compare
PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,,PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,
1020404562,5000,09-09-25 0:00,94444,14009,970443,11111111,970406,10973,,1020404562,5000,09-09-25 0:00,94444,14009,970443,11111111,970406,10973,0
1020404562,5000,09-09-25 0:00,101836,327210,970443,11111111,970406,11053,,1020404562,5000,09-09-25 0:00,101836,327210,970443,11111111,970406,11053,0
1020404562,5000,09-09-25 0:00,105832,136587,970443,11111111,970406,11259,,1020404562,5000,09-09-25 0:00,105832,136587,970443,11111111,970406,11259,0
1020404562,10000,09-09-25 0:00,94445,873383,970443,11111111,970406,10974,,1020404562,10000,09-09-25 0:00,94445,873383,970443,11111111,970406,10974,0
1020404562,10000,09-09-25 0:00,101837,175378,970443,11111111,970406,11054,,1020404562,10000,09-09-25 0:00,101837,175378,970443,11111111,970406,11054,0
1020404562,10000,09-09-25 0:00,105832,921415,970443,11111111,970406,11260,,1020404562,10000,09-09-25 0:00,105832,921415,970443,11111111,970406,11260,0
1020404562,500000,09-09-25 0:00,102757,691410,970443,11111111,970406,11093,,1020404562,500000,09-09-25 0:00,102757,691410,970443,11111111,970406,11093,0
1020404562,1000000,09-09-25 0:00,102757,76053,970443,11111111,970406,11092,,1020404562,1000000,09-09-25 0:00,102757,76053,970443,11111111,970406,11092,0
1020404575,5000,09-09-25 0:00,94547,707438,970443,11111111,970406,10989,,1020404575,5000,09-09-25 0:00,94547,707438,970443,11111111,970406,10989,0
1020404575,5000,09-09-25 0:00,101935,211817,970443,11111111,970406,11069,,1020404575,5000,09-09-25 0:00,101935,211817,970443,11111111,970406,11069,0
1020404575,5000,09-09-25 0:00,103517,544271,970443,11111111,970406,11129,,1020404575,5000,09-09-25 0:00,103517,544271,970443,11111111,970406,11129,0
1020404575,5000,09-09-25 0:00,105435,440723,970443,11111111,970406,11225,,1020404575,5000,09-09-25 0:00,105435,440723,970443,11111111,970406,11225,0
1020404575,5000,09-09-25 0:00,105936,929623,970443,11111111,970406,11275,,1020404575,5000,09-09-25 0:00,105936,929623,970443,11111111,970406,11275,0
1020404575,10000,09-09-25 0:00,94548,579123,970443,11111111,970406,10990,,1020404575,10000,09-09-25 0:00,94548,579123,970443,11111111,970406,10990,0
1020404575,10000,09-09-25 0:00,101936,767191,970443,11111111,970406,11070,,1020404575,10000,09-09-25 0:00,101936,767191,970443,11111111,970406,11070,0
1020404575,10000,09-09-25 0:00,103518,1496,970443,11111111,970406,11130,,1020404575,10000,09-09-25 0:00,103518,1496,970443,11111111,970406,11130,0
1020404575,10000,09-09-25 0:00,105436,764216,970443,11111111,970406,11226,,1020404575,10000,09-09-25 0:00,105436,764216,970443,11111111,970406,11226,0
1020404575,10000,09-09-25 0:00,105937,265249,970443,11111111,970406,11276,,1020404575,10000,09-09-25 0:00,105937,265249,970443,11111111,970406,11276,0
1020404575,500000,09-09-25 0:00,102904,8877,970443,11111111,970406,11108,,1020404575,500000,09-09-25 0:00,102904,8877,970443,11111111,970406,11108,0
1020404575,1000000,09-09-25 0:00,102905,518095,970443,11111111,970406,11109,,1020404575,1000000,09-09-25 0:00,102905,518095,970443,11111111,970406,11109,0
1020412402,5000,09-09-25 0:00,94408,318248,970443,11111111,970406,10965,,1020412402,5000,09-09-25 0:00,94408,318248,970443,11111111,970406,10965,0
1020412402,5000,09-09-25 0:00,101806,698185,970443,11111111,970406,11045,,1020412402,5000,09-09-25 0:00,101806,698185,970443,11111111,970406,11045,0
1020412402,5000,09-09-25 0:00,105759,15766,970443,11111111,970406,11251,,1020412402,5000,09-09-25 0:00,105759,15766,970443,11111111,970406,11251,0
1020412402,10000,09-09-25 0:00,94409,411027,970443,11111111,970406,10966,,1020412402,10000,09-09-25 0:00,94409,411027,970443,11111111,970406,10966,0
1020412402,10000,09-09-25 0:00,101807,146436,970443,11111111,970406,11046,,1020412402,10000,09-09-25 0:00,101807,146436,970443,11111111,970406,11046,0
1020412402,10000,09-09-25 0:00,105800,171272,970443,11111111,970406,11252,,1020412402,10000,09-09-25 0:00,105800,171272,970443,11111111,970406,11252,0
1020412402,1000000,09-09-25 0:00,102726,918991,970443,11111111,970406,11085,,1020412402,1000000,09-09-25 0:00,102726,918991,970443,11111111,970406,11085,0
1020412415,5000,09-09-25 0:00,94416,345809,970443,11111111,970406,10967,,1020412415,5000,09-09-25 0:00,94416,345809,970443,11111111,970406,10967,0
1020412415,5000,09-09-25 0:00,101813,504271,970443,11111111,970406,11047,,1020412415,5000,09-09-25 0:00,101813,504271,970443,11111111,970406,11047,0
1020412415,5000,09-09-25 0:00,105807,881770,970443,11111111,970406,11253,,1020412415,5000,09-09-25 0:00,105807,881770,970443,11111111,970406,11253,0
1020412415,10000,09-09-25 0:00,94416,978437,970443,11111111,970406,10968,,1020412415,10000,09-09-25 0:00,94416,978437,970443,11111111,970406,10968,0
1020412415,10000,09-09-25 0:00,101814,131961,970443,11111111,970406,11048,,1020412415,10000,09-09-25 0:00,101814,131961,970443,11111111,970406,11048,0
1020412415,10000,09-09-25 0:00,105808,971240,970443,11111111,970406,11254,,1020412415,10000,09-09-25 0:00,105808,971240,970443,11111111,970406,11254,0
1020412415,500000,09-09-25 0:00,102732,365594,970443,11111111,970406,11086,,1020412415,500000,09-09-25 0:00,102732,365594,970443,11111111,970406,11086,0
1020412415,1000000,09-09-25 0:00,102733,12087,970443,11111111,970406,11087,,1020412415,1000000,09-09-25 0:00,102733,12087,970443,11111111,970406,11087,0
1020412431,5000,09-09-25 0:00,94428,656886,970443,11111111,970406,10969,,1020412431,5000,09-09-25 0:00,94428,656886,970443,11111111,970406,10969,0
1020412431,5000,09-09-25 0:00,101821,55622,970443,11111111,970406,11049,,1020412431,5000,09-09-25 0:00,101821,55622,970443,11111111,970406,11049,0
1020412431,5000,09-09-25 0:00,105816,389635,970443,11111111,970406,11256,,1020412431,5000,09-09-25 0:00,105816,389635,970443,11111111,970406,11256,0
1020412431,10000,09-09-25 0:00,94428,854308,970443,11111111,970406,10970,,1020412431,10000,09-09-25 0:00,94428,854308,970443,11111111,970406,10970,0
1020412431,10000,09-09-25 0:00,101822,154191,970443,11111111,970406,11050,,1020412431,10000,09-09-25 0:00,101822,154191,970443,11111111,970406,11050,0
1020412431,10000,09-09-25 0:00,105816,224417,970443,11111111,970406,11255,,1020412431,10000,09-09-25 0:00,105816,224417,970443,11111111,970406,11255,0
1020412431,500000,09-09-25 0:00,102740,797997,970443,11111111,970406,11088,,1020412431,500000,09-09-25 0:00,102740,797997,970443,11111111,970406,11088,0
1020412431,1000000,09-09-25 0:00,102741,341467,970443,11111111,970406,11089,,1020412431,1000000,09-09-25 0:00,102741,341467,970443,11111111,970406,11089,0
1020412457,5000,09-09-25 0:00,94510,524383,970443,11111111,970406,10979,,1020412457,5000,09-09-25 0:00,94510,524383,970443,11111111,970406,10979,0
1020412457,5000,09-09-25 0:00,101858,43289,970443,11111111,970406,11059,,1020412457,5000,09-09-25 0:00,101858,43289,970443,11111111,970406,11059,0
1020412457,5000,09-09-25 0:00,105856,417963,970443,11111111,970406,11265,,1020412457,5000,09-09-25 0:00,105856,417963,970443,11111111,970406,11265,0
1020412457,10000,09-09-25 0:00,94510,940134,970443,11111111,970406,10980,,1020412457,10000,09-09-25 0:00,94510,940134,970443,11111111,970406,10980,0
1020412457,10000,09-09-25 0:00,101859,332152,970443,11111111,970406,11060,,1020412457,10000,09-09-25 0:00,101859,332152,970443,11111111,970406,11060,0
1020412457,10000,09-09-25 0:00,105857,481157,970443,11111111,970406,11266,,1020412457,10000,09-09-25 0:00,105857,481157,970443,11111111,970406,11266,0
1020412457,500000,09-09-25 0:00,102822,987799,970443,11111111,970406,11098,,1020412457,500000,09-09-25 0:00,102822,987799,970443,11111111,970406,11098,0
1020412457,1000000,09-09-25 0:00,102823,698930,970443,11111111,970406,11099,,1020412457,1000000,09-09-25 0:00,102823,698930,970443,11111111,970406,11099,0
1020412499,5000,09-09-25 0:00,94532,352690,970443,11111111,970406,10986,,1020412499,5000,09-09-25 0:00,94532,352690,970443,11111111,970406,10986,0
1020412499,5000,09-09-25 0:00,101921,270143,970443,11111111,970406,11066,,1020412499,5000,09-09-25 0:00,101921,270143,970443,11111111,970406,11066,0
1020412499,5000,09-09-25 0:00,105920,229060,970443,11111111,970406,11271,,1020412499,5000,09-09-25 0:00,105920,229060,970443,11111111,970406,11271,0
1020412499,10000,09-09-25 0:00,94532,239363,970443,11111111,970406,10985,,1020412499,10000,09-09-25 0:00,94532,239363,970443,11111111,970406,10985,0
1020412499,10000,09-09-25 0:00,101921,28829,970443,11111111,970406,11065,,1020412499,10000,09-09-25 0:00,101921,28829,970443,11111111,970406,11065,0
